zip|county_fips|res_ratio
51640|29005|0.0106
52542|29199|0.0676
52573|29199|0.0976
52626|29045|0.0953
63005|29189|1
63010|29099|1
63011|29189|1
63012|29099|1
63013|29071|1
63014|29071|0.896
63014|29073|0.104
63015|29071|0.804
63015|29099|0.196
63016|29099|1
63017|29189|1
63019|29099|1
63020|29099|0.9963
63020|29221|0.0037
63021|29189|1
63023|29099|1
63025|29189|0.788
63025|29099|0.212
63026|29189|0.5128
63026|29099|0.4872
63028|29099|0.9729
63028|29186|0.0271
63030|29221|1
63031|29189|1
63033|29189|1
63034|29189|1
63036|29187|0.8598
63036|29186|0.1402
63037|29071|1
63038|29189|1
63039|29071|1
63040|29189|1
63041|29071|0.821
63041|29099|0.179
63042|29189|1
63043|29189|1
63044|29189|1
63045|29189|1
63047|29099|1
63048|29099|1
63049|29099|0.9883
63049|29189|0.0117
63050|29099|1
63051|29099|1
63052|29099|1
63053|29099|1
63055|29071|1
63056|29071|1
63057|29099|0
63060|29071|1
63061|29071|1
63068|29071|0.9801
63068|29073|0.0199
63069|29071|0.736
63069|29099|0.1339
63069|29189|0.13
63070|29099|1
63071|29221|1
63072|29071|0.9528
63072|29099|0.0472
63073|29071|1
63074|29189|1
63077|29071|1
63079|29071|1
63080|29071|0.7269
63080|29055|0.1386
63080|29221|0.1344
63084|29071|1
63087|29187|0.9362
63087|29099|0.0638
63088|29189|1
63089|29071|1
63090|29071|1
63091|29073|0.8756
63091|29071|0.1244
63101|29510|1
63102|29510|1
63103|29510|1
63104|29510|1
63105|29189|0.8999
63105|29510|0.1001
63106|29510|1
63107|29510|1
63108|29510|1
63109|29510|1
63110|29510|1
63111|29510|1
63112|29510|1
63113|29510|1
63114|29189|1
63115|29510|1
63116|29510|1
63117|29189|0.9273
63117|29510|0.0727
63118|29510|1
63119|29189|0.9838
63119|29510|0.0162
63120|29510|0.8939
63120|29189|0.1061
63121|29189|1
63122|29189|1
63123|29189|0.9546
63123|29510|0.0454
63124|29189|1
63125|29189|0.9882
63125|29510|0.0118
63126|29189|1
63127|29189|1
63128|29189|1
63129|29189|1
63130|29189|0.986
63130|29510|0.014
63131|29189|1
63132|29189|1
63133|29189|0.9587
63133|29510|0.0413
63134|29189|1
63135|29189|1
63136|29189|0.928
63136|29510|0.072
63137|29189|0.9375
63137|29510|0.0625
63138|29189|1
63139|29510|1
63140|29189|1
63141|29189|1
63143|29189|0.8548
63143|29510|0.1452
63144|29189|1
63146|29189|1
63147|29510|1
63155|29510|0
63301|29183|1
63303|29183|1
63304|29183|1
63330|29163|1
63332|29183|1
63333|29139|0.9821
63333|29113|0.0179
63334|29163|0.9866
63334|29113|0.0134
63336|29163|1
63339|29163|1
63341|29183|1
63343|29113|0.9873
63343|29163|0.0127
63344|29163|0.686
63344|29113|0.314
63345|29007|1
63347|29113|1
63348|29183|0.6541
63348|29219|0.2994
63348|29113|0.0465
63349|29113|0.9662
63349|29219|0.0338
63350|29139|1
63351|29139|0.6796
63351|29219|0.3204
63352|29007|0.9598
63352|29173|0.0402
63353|29163|1
63357|29219|0.9432
63357|29183|0.0568
63359|29139|0.5393
63359|29163|0.3985
63359|29113|0.0341
63359|29007|0.0281
63361|29139|0.9165
63361|29027|0.0835
63362|29113|1
63363|29139|0.9257
63363|29219|0.0743
63366|29183|1
63367|29183|1
63368|29183|1
63369|29113|1
63370|29113|1
